"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1656","2","CHICKEN VENDOR","824","PIECE","","9",0.047499999,"1"
"1657","3","CHICKEN VENDOR","824","PIECE","","9",0.057999998,"1"
"1658","1","MEAT VENDOR","825","PIECE","","9",0.024,"1"
"1659","2","MEAT VENDOR","825","PIECE","","9",0.029999999,"1"
"1660","3","MEAT VENDOR","825","PIECE","","9",0.022,"1"
"1661","1","FISH VENDOR","826","PIECE","","9",0.039999999,"1"
"1662","2","FISH VENDOR","826","PIECE","","9",0.035,"1"
"1663","3","FISH VENDOR","826","PIECE","","9",0.034500003,"1"
"1664","1","MANDAZI, DOUGHNUT (VENDOR)","827","PIECE","","9",0.061499998,"1"
"1665","2","MANDAZI, DOUGHNUT (VENDOR)","827","PIECE","","9",0.059999999,"1"
"1666","3","MANDAZI, DOUGHNUT (VENDOR)","827","PIECE","","9",0.07,"1"
"1667","2","MANDAZI, DOUGHNUT (VENDOR)","827","PIECE","","85",0.059999999,"5"
"1668","1","SAMOSA VENDOR","828","PIECE","","9",0.048,"1"
"1669","2","SAMOSA VENDOR","828","PIECE","","9",0.044,"1"
"1670","3","SAMOSA VENDOR","828","PIECE","","9",0.039999999,"1"
"1671","1","BOILED SWEET POTATOES","831","PIECE","","9",0.341000021,"1"
"1672","2","BOILED SWEET POTATOES","831","PIECE","","9",0.239999995,"1"
"1673","3","BOILED SWEET POTATOES","831","PIECE","","9",0.261999995,"1"
"1674","1","ROASTED SWEET POTATOES","832","PIECE","","9",0.072999999,"1"
"1675","2","ROASTED SWEET POTATOES","832","PIECE","","9",0.278750002,"1"
"1676","3","ROASTED SWEET POTATOES","832","PIECE","","9",0.310000002,"1"
"1677","1","BOILED GROUNDNUTS","833","TINA ","","25",0.216000006,"1"
"1678","2","BOILED GROUNDNUTS","833","TINA ","","25",0.185000002,"1"
"1679","3","BOILED GROUNDNUTS","833","TINA ","","25",0.208000004,"1"
"1680","1","BOILED GROUNDNUTS","833","NO. 10 PLATE ","","6",0.079999998,"1"
"1681","2","BOILED GROUNDNUTS","833","NO. 10 PLATE ","","6",0.090000004,"1"
"1682","3","BOILED GROUNDNUTS","833","NO. 10 PLATE ","","6",0.140000001,"1"
"1683","1","BOILED GROUNDNUTS","833","NO. 12 PLATE ","","7",0.167999998,"1"
"1684","2","BOILED GROUNDNUTS","833","NO. 12 PLATE ","","7",0.170000002,"1"
"1685","3","BOILED GROUNDNUTS","833","NO. 12 PLATE ","","7",0.164000005,"1"
"1686","1","ROASTED GROUNDNUTS","834","HEAP ","","10",0.055,"1"
"1687","2","ROASTED GROUNDNUTS","834","HEAP ","","10",0.064999998,"1"
"1688","3","ROASTED GROUNDNUTS","834","HEAP ","","10",0.041999999,"1"
"1689","1","ROASTED GROUNDNUTS","834","TEASPOON","","20",0.024,"1"
"1690","2","ROASTED GROUNDNUTS","834","TEASPOON","","20",0.01,"1"
"1691","3","ROASTED GROUNDNUTS","834","TEASPOON","","20",0.014,"1"
"1692","1","ROASTED GROUNDNUTS","834","TINA HEAPED","","25B",0.2245,"1"
"1693","2","ROASTED GROUNDNUTS","834","TINA HEAPED","","25B",0.202500001,"1"
"1694","3","ROASTED GROUNDNUTS","834","TINA HEAPED","","25B",0.203999996,"1"
"1695","1","ROASTED GROUNDNUTS","834","TABLESPOON","","59",0.041999999,"1"
"1696","2","ROASTED GROUNDNUTS","834","TABLESPOON","","59",0.02,"1"
"1697","3","ROASTED GROUNDNUTS","834","TABLESPOON","","59",0.023,"1"
"1698","1","ROASTED GROUNDNUTS","834","NO. 10 PLATE HEAPED","","6B",0.090000004,"1"
